"site","site_old","year","Treatment","Transect","Distance","Emerged","Reproduced","neighbors","Fecundity","Biomass","fecundityflag","notesFlag","Lat","Lon","annual","unknown","perennial","shrub","Type","plantID","albedo","x","y","genotype","block","plot","note_standard_harvest","note_standard_phen","Transect_Site_Year"
"Boise_High","Boise_High",2022,"control","S",5.6,"Y","N",0,0,NA,0,NA,43.20847803,-116.9951781,0,0,30,0,"Satellite","28",NA,NA,NA,NA,NA,NA,NA,NA,"S - Boise_High - 2022"
"Boise_High","Boise_High",2022,"control","S",5.8,"Y","Y",0,26,0.035,0,NA,43.20847803,-116.9951781,0,0,30,0,"Satellite","29",NA,NA,NA,NA,NA,NA,NA,NA,"S - Boise_High - 2022"
"Boise_High","Boise_High",2022,"control","S",6,"Y","Y",0,77,0.159,0,NA,43.20847803,-116.9951781,10,0,20,0,"Satellite","30",NA,NA,NA,NA,NA,NA,NA,NA,"S - Boise_High - 2022"
"Boise_High","Boise_High",2022,"control","S",6.2,"Y","Y",0,100,0.149,0,"",43.20847803,-116.9951781,0,0,5,0,"Satellite","31",NA,NA,NA,NA,NA,NA,NA,NA,"S - Boise_High - 2022"
"Boise_High","Boise_High",2022,"control","S",6.4,"Y","N",0,0,NA,0,"",43.20847803,-116.9951781,0,0,30,0,"Satellite","32",NA,NA,NA,NA,NA,NA,NA,NA,"S - Boise_High - 2022"
"Boise_High","Boise_High",2022,"control","S",6.6,"Y","N",0,0,NA,0,"",43.20847803,-116.9951781,0,0,45,0,"Satellite","33",NA,NA,NA,NA,NA,NA,NA,NA,"S - Boise_High - 2022"
"Boise_High","Boise_High",2022,"control","S",6.8,"Y","Y",0,96,0.068,0,NA,43.20847803,-116.9951781,5,0,20,0,"Satellite","34",NA,NA,NA,NA,NA,NA,NA,NA,"S - Boise_High - 2022"
"Boise_High","Boise_High",2022,"control","S",7,"Y","Y",0,20,0.014,0,NA,43.20847803,-116.9951781,0,0,65,0,"Satellite","35",NA,NA,NA,NA,NA,NA,NA,NA,"S - Boise_High - 2022"
"Boise_High","Boise_High",2022,"control","S",7.2,"Y","N",0,0,NA,0,NA,43.20847803,-116.9951781,0,0,55,0,"Satellite","36",NA,NA,NA,NA,NA,NA,NA,NA,"S - Boise_High - 2022"
"Boise_High","Boise_High",2022,"control","S",7.4,"N","N",2,0,NA,0,NA,43.20847803,-116.9951781,15,0,10,0,"Satellite","37",NA,NA,NA,NA,NA,NA,NA,NA,"S - Boise_High - 2022"
"Boise_High","Boise_High",2022,"control","S",7.6,"Y","Y",0,72,0.117,0,NA,43.20847803,-116.9951781,0,0,15,0,"Satellite","38",NA,NA,NA,NA,NA,NA,NA,NA,"S - Boise_High - 2022"
"Boise_High","Boise_High",2022,"control","S",7.8,"Y","Y",1,99,0.055,0,NA,43.20847803,-116.9951781,0,0,20,0,"Satellite","39",NA,NA,NA,NA,NA,NA,NA,NA,"S - Boise_High - 2022"
"Boise_High","Boise_High",2022,"control","S",8,"Y","Y",1,2,0.008,0,NA,43.20847803,-116.9951781,0,0,20,0,"Satellite","40",NA,NA,NA,NA,NA,NA,NA,NA,"S - Boise_High - 2022"
"Boise_High","Boise_High",2022,"control","S",8.2,"Y","Y",0,8,0.02,0,NA,43.20847803,-116.9951781,0,0,5,0,"Satellite","41",NA,NA,NA,NA,NA,NA,NA,NA,"S - Boise_High - 2022"
"Boise_High","Boise_High",2022,"control","S",8.4,"Y","Y",5,63,0.166,0,NA,43.20847803,-116.9951781,30,0,25,0,"Satellite","42",NA,NA,NA,NA,NA,NA,NA,NA,"S - Boise_High - 2022"
"Boise_High","Boise_High",2022,"control","S",8.6,"Y","Y",0,24,0.05,0,NA,43.20847803,-116.9951781,10,5,40,0,"Satellite","43",NA,NA,NA,NA,NA,NA,NA,NA,"S - Boise_High - 2022"
"Boise_High","Boise_High",2022,"control","S",8.8,"Y","Y",1,100,0.283,0,"",43.20847803,-116.9951781,5,0,15,0,"Satellite","44",NA,NA,NA,NA,NA,NA,NA,NA,"S - Boise_High - 2022"
"Boise_High","Boise_High",2022,"control","S",9,"Y","Y",2,11,0.085,0,NA,43.20847803,-116.9951781,15,0,10,0,"Satellite","45",NA,NA,NA,NA,NA,NA,NA,NA,"S - Boise_High - 2022"
"Boise_High","Boise_High",2022,"control","S",9.2,"Y","Y",3,20,0.046,0,NA,43.20847803,-116.9951781,15,0,25,0,"Satellite","46",NA,NA,NA,NA,NA,NA,NA,NA,"S - Boise_High - 2022"
"Boise_High","Boise_High",2022,"control","S",9.4,"N","N",3,0,NA,0,NA,43.20847803,-116.9951781,0,0,5,0,"Satellite","47",NA,NA,NA,NA,NA,NA,NA,NA,"S - Boise_High - 2022"
"Boise_High","Boise_High",2022,"control","S",9.6,"Y","Y",0,2,0.006,0,NA,43.20847803,-116.9951781,10,0,50,0,"Satellite","48",NA,NA,NA,NA,NA,NA,NA,NA,"S - Boise_High - 2022"
"Boise_High","Boise_High",2022,"control","S",9.8,"Y","Y",1,20,0.042,0,NA,43.20847803,-116.9951781,10,0,0,0,"Satellite","49",NA,NA,NA,NA,NA,NA,NA,NA,"S - Boise_High - 2022"
"Boise_High","Boise_High",2022,"control","S",10,"Y","Y",0,5,0.02,0,NA,43.20847803,-116.9951781,2,0,25,0,"Satellite","50",NA,NA,NA,NA,NA,NA,NA,NA,"S - Boise_High - 2022"
"Boise_High","Boise_High",2022,"control","W",0.2,"Y","Y",0,28,0.066,0,NA,43.20847803,-116.9951781,NA,NA,NA,NA,"Satellite","51",NA,NA,NA,NA,NA,NA,NA,NA,"W - Boise_High - 2022"
"Boise_High","Boise_High",2022,"control","W",0.4,"Y","N",0,0,NA,0,"frostheave",43.20847803,-116.9951781,0,0,15,0,"Satellite","52",NA,NA,NA,NA,NA,NA,NA,NA,"W - Boise_High - 2022"
"Boise_High","Boise_High",2022,"control","W",0.6,"N","N",0,0,NA,0,"",43.20847803,-116.9951781,0,0,35,0,"Satellite","53",NA,NA,NA,NA,NA,NA,NA,NA,"W - Boise_High - 2022"
"Boise_High","Boise_High",2022,"control","W",0.8,"Y","Y",0,7,0.019,0,NA,43.20847803,-116.9951781,5,0,25,0,"Satellite","54",NA,NA,NA,NA,NA,NA,NA,NA,"W - Boise_High - 2022"
"Boise_High","Boise_High",2022,"control","W",1,"Y","N",0,0,NA,0,NA,43.20847803,-116.9951781,0,0,55,0,"Satellite","55",NA,NA,NA,NA,NA,NA,NA,NA,"W - Boise_High - 2022"
"Boise_High","Boise_High",2022,"control","W",1.2,"Y","N",0,0,NA,0,NA,43.20847803,-116.9951781,0,0,55,0,"Satellite","56",NA,NA,NA,NA,NA,NA,NA,NA,"W - Boise_High - 2022"
"Boise_High","Boise_High",2022,"control","W",1.4,"Y","Y",0,16,0.026,0,NA,43.20847803,-116.9951781,0,0,10,0,"Satellite","57",NA,NA,NA,NA,NA,NA,NA,NA,"W - Boise_High - 2022"
"Boise_High","Boise_High",2022,"control","W",1.6,"Y","Y",0,3,0.013,0,NA,43.20847803,-116.9951781,0,0,30,0,"Satellite","58",NA,NA,NA,NA,NA,NA,NA,NA,"W - Boise_High - 2022"
"Boise_High","Boise_High",2022,"control","W",1.8,"Y","Y",0,4,0.014,0,NA,43.20847803,-116.9951781,0,0,20,0,"Satellite","59",NA,NA,NA,NA,NA,NA,NA,NA,"W - Boise_High - 2022"
"Boise_High","Boise_High",2022,"control","W",2,"N","N",0,0,NA,0,NA,43.20847803,-116.9951781,0,0,80,0,"Satellite","60",NA,NA,NA,NA,NA,NA,NA,NA,"W - Boise_High - 2022"
"Boise_High","Boise_High",2022,"control","W",2.2,"Y","Y",0,3,0.01,0,NA,43.20847803,-116.9951781,0,0,40,0,"Satellite","61",NA,NA,NA,NA,NA,NA,NA,NA,"W - Boise_High - 2022"
"Boise_High","Boise_High",2022,"control","W",2.4,"Y","Y",0,NA,0.012,1,"seeddrop",43.20847803,-116.9951781,0,0,35,0,"Satellite","62",NA,NA,NA,NA,NA,NA,NA,NA,"W - Boise_High - 2022"
"Boise_High","Boise_High",2022,"control","W",2.6,"Y","Y",0,23,0.034,0,NA,43.20847803,-116.9951781,0,0,30,0,"Satellite","63",NA,NA,NA,NA,NA,NA,NA,NA,"W - Boise_High - 2022"
"Boise_High","Boise_High",2022,"control","W",2.8,"Y","Y",0,14,0.026,0,"",43.20847803,-116.9951781,0,0,30,0,"Satellite","64",NA,NA,NA,NA,NA,NA,NA,NA,"W - Boise_High - 2022"
"Boise_High","Boise_High",2022,"control","W",3,"Y","Y",1,27,0.044,0,"",43.20847803,-116.9951781,0,0,15,0,"Satellite","65",NA,NA,NA,NA,NA,NA,NA,NA,"W - Boise_High - 2022"
"Boise_High","Boise_High",2022,"control","W",3.2,"Y","Y",0,78,0.094,0,NA,43.20847803,-116.9951781,5,0,0,0,"Satellite","66",NA,NA,NA,NA,NA,NA,NA,NA,"W - Boise_High - 2022"
"Boise_High","Boise_High",2022,"control","W",3.4,"Y","Y",1,76,0.085,0,NA,43.20847803,-116.9951781,2,0,10,0,"Satellite","67",NA,NA,NA,NA,NA,NA,NA,NA,"W - Boise_High - 2022"
"Boise_High","Boise_High",2022,"control","W",3.6,"Y","Y",0,8,0.03,0,NA,43.20847803,-116.9951781,0,0,45,20,"Satellite","68",NA,NA,NA,NA,NA,NA,NA,NA,"W - Boise_High - 2022"
"Boise_High","Boise_High",2022,"control","W",3.8,"Y","Y",0,27,0.037,0,"",43.20847803,-116.9951781,0,0,15,0,"Satellite","69",NA,NA,NA,NA,NA,NA,NA,NA,"W - Boise_High - 2022"
"Boise_High","Boise_High",2022,"control","W",4,"Y","Y",0,13,0.022,0,"",43.20847803,-116.9951781,0,0,25,0,"Satellite","70",NA,NA,NA,NA,NA,NA,NA,NA,"W - Boise_High - 2022"
"Boise_High","Boise_High",2022,"control","W",4.2,"Y","Y",0,12,0.013,0,"",43.20847803,-116.9951781,0,0,60,0,"Satellite","71",NA,NA,NA,NA,NA,NA,NA,NA,"W - Boise_High - 2022"
"Boise_High","Boise_High",2022,"control","W",4.4,"Y","Y",0,4,0.021,0,NA,43.20847803,-116.9951781,0,0,2,0,"Satellite","72",NA,NA,NA,NA,NA,NA,NA,NA,"W - Boise_High - 2022"
"Boise_High","Boise_High",2022,"control","W",4.6,"Y","Y",0,20,0.023,0,"",43.20847803,-116.9951781,0,0,15,0,"Satellite","73",NA,NA,NA,NA,NA,NA,NA,NA,"W - Boise_High - 2022"
"Boise_High","Boise_High",2022,"control","W",4.8,"Y","Y",0,4,0.013,0,NA,43.20847803,-116.9951781,0,0,60,0,"Satellite","74",NA,NA,NA,NA,NA,NA,NA,NA,"W - Boise_High - 2022"
"Boise_High","Boise_High",2022,"control","W",5,"N","N",0,0,NA,0,NA,43.20847803,-116.9951781,2,0,5,0,"Satellite","75",NA,NA,NA,NA,NA,NA,NA,NA,"W - Boise_High - 2022"
"Boise_High","Boise_High",2022,"control","W",5.2,"Y","Y",0,12,0.016,0,"",43.20847803,-116.9951781,5,0,85,0,"Satellite","76",NA,NA,NA,NA,NA,NA,NA,NA,"W - Boise_High - 2022"
"Boise_High","Boise_High",2022,"control","W",5.4,"Y","Y",0,34,0.054,0,"",43.20847803,-116.9951781,0,0,17,0,"Satellite","77",NA,NA,NA,NA,NA,NA,NA,NA,"W - Boise_High - 2022"
"Boise_High","Boise_High",2022,"control","W",5.6,"Y","Y",0,13,0.02,0,"",43.20847803,-116.9951781,0,0,15,0,"Satellite","78",NA,NA,NA,NA,NA,NA,NA,NA,"W - Boise_High - 2022"
"Boise_High","Boise_High",2022,"control","W",5.8,"Y","Y",0,25,0.03,0,"",43.20847803,-116.9951781,10,0,20,0,"Satellite","79",NA,NA,NA,NA,NA,NA,NA,NA,"W - Boise_High - 2022"
"Boise_High","Boise_High",2022,"control","W",6,"Y","Y",0,13,0.029,0,"",43.20847803,-116.9951781,0,0,37,0,"Satellite","80",NA,NA,NA,NA,NA,NA,NA,NA,"W - Boise_High - 2022"
"Boise_High","Boise_High",2022,"control","W",6.2,"Y","Y",0,22,0.03,0,"",43.20847803,-116.9951781,5,0,15,0,"Satellite","81",NA,NA,NA,NA,NA,NA,NA,NA,"W - Boise_High - 2022"
"Boise_High","Boise_High",2022,"control","W",6.4,"Y","Y",0,19,0.023,0,NA,43.20847803,-116.9951781,4,0,30,0,"Satellite","82",NA,NA,NA,NA,NA,NA,NA,NA,"W - Boise_High - 2022"
"Boise_High","Boise_High",2022,"control","W",6.6,"Y","Y",0,10,0.038,0,NA,43.20847803,-116.9951781,0,0,20,0,"Satellite","83",NA,NA,NA,NA,NA,NA,NA,NA,"W - Boise_High - 2022"
"Boise_High","Boise_High",2022,"control","W",6.8,"Y","Y",0,35,0.06,0,NA,43.20847803,-116.9951781,10,0,15,0,"Satellite","84",NA,NA,NA,NA,NA,NA,NA,NA,"W - Boise_High - 2022"
"Boise_High","Boise_High",2022,"control","W",7,"Y","N",1,0,NA,0,NA,43.20847803,-116.9951781,5,0,10,0,"Satellite","85",NA,NA,NA,NA,NA,NA,NA,NA,"W - Boise_High - 2022"
"Boise_High","Boise_High",2022,"control","W",7.2,"Y","Y",0,30,0.057,0,NA,43.20847803,-116.9951781,0,0,35,0,"Satellite","86",NA,NA,NA,NA,NA,NA,NA,NA,"W - Boise_High - 2022"
"Boise_High","Boise_High",2022,"control","W",7.4,"Y","Y",0,4,0.012,0,NA,43.20847803,-116.9951781,2,0,55,0,"Satellite","87",NA,NA,NA,NA,NA,NA,NA,NA,"W - Boise_High - 2022"
"Boise_High","Boise_High",2022,"control","W",7.6,"N","N",0,0,NA,0,NA,43.20847803,-116.9951781,5,0,42,0,"Satellite","88",NA,NA,NA,NA,NA,NA,NA,NA,"W - Boise_High - 2022"
"Boise_High","Boise_High",2022,"control","W",7.8,"Y","Y",0,NA,0.023,1,"seeddrop",43.20847803,-116.9951781,0,0,10,0,"Satellite","89",NA,NA,NA,NA,NA,NA,NA,NA,"W - Boise_High - 2022"
"Boise_High","Boise_High",2022,"control","W",8,"Y","Y",1,5,0.014,0,NA,43.20847803,-116.9951781,2,0,100,0,"Satellite","90",NA,NA,NA,NA,NA,NA,NA,NA,"W - Boise_High - 2022"
"Boise_High","Boise_High",2022,"control","W",8.2,"Y","Y",3,1,0.014,0,NA,43.20847803,-116.9951781,15,0,75,0,"Satellite","91",NA,NA,NA,NA,NA,NA,NA,NA,"W - Boise_High - 2022"
"Boise_High","Boise_High",2022,"control","W",8.4,"Y","Y",1,2,0.025,0,NA,43.20847803,-116.9951781,15,0,10,0,"Satellite","92",NA,NA,NA,NA,NA,NA,NA,NA,"W - Boise_High - 2022"
"Boise_High","Boise_High",2022,"control","W",8.6,"Y","N",5,0,NA,0,NA,43.20847803,-116.9951781,0,0,35,0,"Satellite","93",NA,NA,NA,NA,NA,NA,NA,NA,"W - Boise_High - 2022"
"Boise_High","Boise_High",2022,"control","W",8.8,"Y","Y",4,NA,0.012,1,"seeddrop",43.20847803,-116.9951781,0,0,45,0,"Satellite","94",NA,NA,NA,NA,NA,NA,NA,NA,"W - Boise_High - 2022"
"Boise_High","Boise_High",2022,"control","W",9,"Y","Y",8,7,0.021,0,"",43.20847803,-116.9951781,5,0,10,0,"Satellite","95",NA,NA,NA,NA,NA,NA,NA,NA,"W - Boise_High - 2022"
"Boise_High","Boise_High",2022,"control","W",9.2,"Y","Y",1,2,0.012,0,NA,43.20847803,-116.9951781,0,0,15,0,"Satellite","96",NA,NA,NA,NA,NA,NA,NA,NA,"W - Boise_High - 2022"
"Boise_High","Boise_High",2022,"control","W",9.4,"Y","Y",1,8,0.012,0,NA,43.20847803,-116.9951781,5,0,0,0,"Satellite","97",NA,NA,NA,NA,NA,NA,NA,NA,"W - Boise_High - 2022"
"Boise_High","Boise_High",2022,"control","W",9.6,"Y","N",1,0,NA,0,NA,43.20847803,-116.9951781,0,0,52,0,"Satellite","98",NA,NA,NA,NA,NA,NA,NA,NA,"W - Boise_High - 2022"
"Boise_High","Boise_High",2022,"control","W",9.8,"Y","Y",0,17,0.042,0,NA,43.20847803,-116.9951781,0,0,30,0,"Satellite","99",NA,NA,NA,NA,NA,NA,NA,NA,"W - Boise_High - 2022"
"Boise_High","Boise_High",2022,"control","W",10,"N","N",0,0,NA,0,NA,43.20847803,-116.9951781,0,0,15,0,"Satellite","100",NA,NA,NA,NA,NA,NA,NA,NA,"W - Boise_High - 2022"
"Boise_High","Boise_High",2022,"removal","E",2.2,"N","N",0,0,NA,0,NA,43.20847803,-116.9951781,5,0,0,0,"Satellite","101",NA,NA,NA,NA,NA,NA,NA,NA,"E - Boise_High - 2022"
"Boise_High","Boise_High",2022,"removal","E",2.4,"Y","Y",0,100,0.186,0,"",43.20847803,-116.9951781,10,5,0,0,"Satellite","102",NA,NA,NA,NA,NA,NA,NA,NA,"E - Boise_High - 2022"
"Boise_High","Boise_High",2022,"removal","E",2.6,"Y","Y",0,100,0.356,0,"",43.20847803,-116.9951781,NA,NA,NA,NA,"Satellite","103",NA,NA,NA,NA,NA,NA,NA,NA,"E - Boise_High - 2022"
"Boise_High","Boise_High",2022,"removal","E",2.8,"Y","N",0,0,NA,0,NA,43.20847803,-116.9951781,5,0,0,0,"Satellite","104",NA,NA,NA,NA,NA,NA,NA,NA,"E - Boise_High - 2022"
"Boise_High","Boise_High",2022,"removal","E",3,"Y","Y",0,100,0.339,0,"",43.20847803,-116.9951781,5,5,0,0,"Satellite","105",NA,NA,NA,NA,NA,NA,NA,NA,"E - Boise_High - 2022"
"Boise_High","Boise_High",2022,"removal","E",3.2,"Y","Y",0,48,0.056,0,NA,43.20847803,-116.9951781,0,10,15,0,"Satellite","106",NA,NA,NA,NA,NA,NA,NA,NA,"E - Boise_High - 2022"
"Boise_High","Boise_High",2022,"removal","E",3.4,"Y","Y",0,85,0.11,0,"",43.20847803,-116.9951781,0,10,5,0,"Satellite","107",NA,NA,NA,NA,NA,NA,NA,NA,"E - Boise_High - 2022"
"Boise_High","Boise_High",2022,"removal","E",3.6,"Y","N",0,0,NA,0,NA,43.20847803,-116.9951781,NA,NA,NA,NA,"Satellite","108",NA,NA,NA,NA,NA,NA,NA,NA,"E - Boise_High - 2022"
"Boise_High","Boise_High",2022,"removal","E",3.8,"Y","Y",0,43,0.046,0,"",43.20847803,-116.9951781,0,5,5,0,"Satellite","109",NA,NA,NA,NA,NA,NA,NA,NA,"E - Boise_High - 2022"
"Boise_High","Boise_High",2022,"removal","E",4,"Y","Y",0,100,0.244,0,"",43.20847803,-116.9951781,NA,NA,NA,NA,"Satellite","110",NA,NA,NA,NA,NA,NA,NA,NA,"E - Boise_High - 2022"
"Boise_High","Boise_High",2022,"removal","E",4.2,"Y","N",0,0,NA,0,NA,43.20847803,-116.9951781,0,0,10,0,"Satellite","111",NA,NA,NA,NA,NA,NA,NA,NA,"E - Boise_High - 2022"
"Boise_High","Boise_High",2022,"removal","E",4.4,"Y","N",0,0,NA,0,NA,43.20847803,-116.9951781,NA,NA,NA,NA,"Satellite","112",NA,NA,NA,NA,NA,NA,NA,NA,"E - Boise_High - 2022"
"Boise_High","Boise_High",2022,"removal","E",4.6,"Y","Y",0,100,0.681,0,"",43.20847803,-116.9951781,0,0,15,0,"Satellite","113",NA,NA,NA,NA,NA,NA,NA,NA,"E - Boise_High - 2022"
"Boise_High","Boise_High",2022,"removal","E",4.8,"Y","Y",0,100,0.281,0,"",43.20847803,-116.9951781,0,0,5,0,"Satellite","114",NA,NA,NA,NA,NA,NA,NA,NA,"E - Boise_High - 2022"
"Boise_High","Boise_High",2022,"removal","E",5,"N","N",0,0,NA,0,NA,43.20847803,-116.9951781,10,10,5,0,"Satellite","115",NA,NA,NA,NA,NA,NA,NA,NA,"E - Boise_High - 2022"
"Boise_High","Boise_High",2022,"removal","E",5.2,"Y","Y",0,68,0.191,0,NA,43.20847803,-116.9951781,0,0,5,0,"Satellite","116",NA,NA,NA,NA,NA,NA,NA,NA,"E - Boise_High - 2022"
"Boise_High","Boise_High",2022,"removal","E",5.4,"Y","Y",0,100,0.282,0,"",43.20847803,-116.9951781,20,15,0,0,"Satellite","117",NA,NA,NA,NA,NA,NA,NA,NA,"E - Boise_High - 2022"
"Boise_High","Boise_High",2022,"removal","E",5.6,"Y","Y",0,100,0.314,0,"",43.20847803,-116.9951781,NA,NA,NA,NA,"Satellite","118",NA,NA,NA,NA,NA,NA,NA,NA,"E - Boise_High - 2022"
"Boise_High","Boise_High",2022,"removal","E",5.8,"Y","Y",0,81,0.079,0,NA,43.20847803,-116.9951781,25,0,0,0,"Satellite","119",NA,NA,NA,NA,NA,NA,NA,NA,"E - Boise_High - 2022"
"Boise_High","Boise_High",2022,"removal","E",6,"Y","Y",2,100,0.64,0,"",43.20847803,-116.9951781,95,0,0,0,"Satellite","120",NA,NA,NA,NA,NA,NA,NA,NA,"E - Boise_High - 2022"
"Boise_High","Boise_High",2022,"removal","E",6.2,"Y","N",0,0,NA,0,NA,43.20847803,-116.9951781,65,0,0,0,"Satellite","121",NA,NA,NA,NA,NA,NA,NA,NA,"E - Boise_High - 2022"
"Boise_High","Boise_High",2022,"removal","E",6.4,"Y","Y",0,100,0.566,0,"",43.20847803,-116.9951781,65,0,0,0,"Satellite","122",NA,NA,NA,NA,NA,NA,NA,NA,"E - Boise_High - 2022"
"Boise_High","Boise_High",2022,"removal","E",6.6,"Y","Y",0,100,0.399,0,"",43.20847803,-116.9951781,40,0,0,0,"Satellite","123",NA,NA,NA,NA,NA,NA,NA,NA,"E - Boise_High - 2022"
