"site_year","Type","total_precip","MAT","seasonality","prcp.Spr","prcp.Sum","prcp.Win","prcp.Fall","tmean.Spr","tmean.Sum","tmean.Win","tmean.Fall","swe_mean.Spr","swe_mean.Sum","swe_mean.Win","swe_mean.Fall","prcp_center30d_mean","tmin_center30d_mean","tmax_center30d_mean","tavg_center30d_mean","tmin_center30d_min","tmax_center30d_max","pH","EC","OMpercent","Protein_g.kg","mean_neighbors"
"TB LC Control 2022","Satellite",585.14,8.52393150684931,1,215.06,187.72,34.24,148.12,11.1068681318681,21.3177222222222,-2.03258064516129,4.07631868131868,0.218571428571429,0,1.50354838709677,1.43307692307692,0.836612903225807,-5.78717741935484,9.66177419354839,1.93729838709677,-23.77,25.13,5.27666666666667,98.44,3.23,4.46666666666667,1.20134228187919
"TB LC Control 2023","Satellite",809.6,7.04076712328767,1,439.66,230.38,123.38,16.18,12.419010989011,19.9771666666667,-3.81467741935484,-0.0376923076923074,5.15857142857143,0,16.0211827956989,0.893296703296703,0.742903225806452,-5.12048387096774,10.6996774193548,2.78959677419355,-22.05,25.23,5.27666666666667,98.44,3.23,4.46666666666667,0
"TB PRAIRIE DOG 2022","Satellite",587.54,8.50917808219178,9,216.74,188.06,34.1,148.64,11.0900549450549,21.3077222222222,-2.03838709677419,4.04978021978022,0.213736263736264,0,1.48935483870968,1.43846153846154,0.590161290322581,-6.39967741935484,8.17903225806452,0.889677419354839,-23.72,25.09,5.22666666666667,109.383333333333,3.39,3.15,0.00704225352112676
"TB PRAIRIE DOG 2023","Satellite",807.22,7.03201369863014,1,439.24,228.4,123.44,16.14,12.4054945054945,19.9665555555556,-3.82989247311828,-0.0332417582417585,5.10978021978022,0,16.0361290322581,0.886043956043956,0.87258064516129,-4.20524193548387,12.0758870967742,3.93532258064516,-21.95,25.17,5.22666666666667,109.383333333333,3.39,3.15,0
"WI_black 2022","Common_Garden",511,12.4338904109589,8,221.82,33.22,108.16,147.8,14.322032967033,25.2201111111111,3.03768817204301,7.50274725274725,0,0,1.65838709677419,0.142637362637363,0.731774193548387,-3.17137096774194,9.32338709677419,3.07600806451613,-10.81,20.49,7.35,60.9833333333333,1.54333333333333,1.27333333333333,11.1802935010482
"WI_black 2023","Common_Garden",611.64,11.5832602739726,1,168.26,121.66,122.64,199.08,16.1081318681319,23.2534444444444,2.36833333333333,4.9339010989011,0,0,0.0951612903225806,0.187802197802198,0.67233870967742,-3.41766129032258,8.66653225806452,2.62443548387097,-10.81,17.1,7.35,60.9833333333333,1.54333333333333,1.27333333333333,10.8258238063215
"WI_white 2022","Common_Garden",511,10.4338904109589,8,221.82,33.22,108.16,147.8,12.322032967033,23.2201111111111,1.03768817204301,5.50274725274725,0,0,1.65838709677419,0.142637362637363,0.731774193548387,-5.17137096774194,7.32338709677419,1.07600806451613,-12.81,18.49,7.35,60.9833333333333,1.54333333333333,1.27333333333333,9.29627659574468
"WI_white 2023","Common_Garden",611.64,9.5832602739726,1,168.26,121.66,122.64,199.08,14.1081318681319,21.2534444444444,0.36833333333333,2.9339010989011,0,0,0.0951612903225806,0.187802197802198,0.67233870967742,-5.41766129032258,6.66653225806452,0.62443548387097,-12.81,15.1,7.35,60.9833333333333,1.54333333333333,1.27333333333333,9.50633755837225
"Woodruff 2022","Satellite",737.02,6.17004109589041,6,157.56,206.88,106.28,266.3,9.13994505494505,18.3668888888889,-4.78096774193548,2.32901098901099,11.0568131868132,0,36.818064516129,3.74923076923077,0.795725806451613,-14.2016935483871,-0.971370967741935,-7.58653225806452,-29.8,7.94,7.17666666666667,162.3,2.07,3.20666666666667,0
"Woodruff 2023","Satellite",908.76,4.17509589041096,1,165.66,191.3,326.58,225.22,8.77082417582418,17.1912777777778,-7.59322580645161,-1.26681318681319,61.1739560439561,0,64.081935483871,10.0060439560439,0.346048387096774,-0.761935483870968,16.1316935483871,7.68487903225806,-9.95,26.37,7.17666666666667,162.3,2.07,3.20666666666667,0
