UniqueID,SiteID,SampleDescription,TotalSoilWeight,GravelWeight,pH,EC,OMpercent,Protein_g.kg
26,9,CPER-SE/ 4 way (pasture 19s) 7/20/22  #2,45,0,5.59,267.2,3.51,4.29
27,9,CPER-SE/ 4 way (pasture 19s) 7/20/22  #3,33,0,7.44,305.6,3.58,2.40
28,10,Satellite soils blumenthal 01 #1,101,2,7,205.5,7.42,4.84
29,10,Satellite soils blumenthal 01 #2,92,3,6.97,207.3,7.03,4.89
30,10,Satellite soils blumenthal 01 #3,98,1,6.71,211.6,6.41,5.44
31,11,PMR-Brome 7/19/22 #1,15,11,6.39,328.1,11.60,NA
32,11,PMR-Brome 7/19/22 #2,21,6,6.04,251.8,7.54,14.92
33,11,PMR-Brome 7/19/22 #3,16,11,6.46,314.2,10.91,NA
34,12, PMR-Brome 7/12/22 #1,61,23,6.31,174.1,3.17,8.93
35,12,PMR-Brome 7/12/22 #2,35,19,5.66,324.2,12.84,23.05
36,12,PMR-Brome 7/12/22 #3,36,25,6.31,340.8,9.79,NA
37,13,PMR-Pine 7/19/22 #1,21,8,6.06,284.1,5.49,14.75
38,13,PMR-Pine 7/19/22 #2,25,6,5.61,396.8,5.91,15.71
39,13,PMR-Pine 7/19/22 #3,28,4,5.42,154.3,4.80,10.10
40,14,PMR-Pine 7/21/22 #1,55,11,5.93,247.1,4.46,15.08
41,14,PMR-Pine 7/21/22 #2,59,19,5.77,169.9,3.04,8.96
42,14,PMR-Pine 7/21/22 #3,70,20,5.34,163.4,2.87,9.54
43,15,Symstad S2 (Pasture) #1,62,60,7.67,365.7,7.26,6.73
44,15,Symstad S2 (Pasture) #2,66,57,7.6,218.2,6.28,5.31
45,15,Symstad S2 (Pasture) #3,67,57,7.85,266.9,7.04,6.94
46,16,Peavine Urza+Shriver #1,13,2,6.67,352.9,4.02,3.94
47,16,Peavine Urza+Shriver #2,9,2,6.4,447.7,4.33,4.23
48,16,Peavine Urza+Shriver #3,10,2,5.81,578.9,5.53,6.64
49,17,Plymouth #1,30,2,5.64,64.03,1.24,1.35
50,17,Plymouth #2,24,2,6.09,60.69,1.57,2.74
51,17,Plymouth #3,24,3,5.55,81.08,2.15,3.87
52,18,Fort Keogh Cottonwood Coulee 6/17/22 #1,32,0,6.21,65.81,1.56,2.19
53,18,Fort Keogh Cottonwood Coulee 6/17/22 #2,33,0,5.52,64.01,2.69,3.68
54,18,Fort Keogh Cottonwood Coulee 6/17/22 #3,32,1,6.43,63.02,2.62,3.70
55,19,DINO 6/10/24 #1,35,0,8.18,231.8,1.12,0.75
56,19,DINO 6/10/24 #2,34,0,8.54,211.2,1.04,0.72
57,19,DINO 6/10/24 #3,33,0,8.2,208.3,1.24,1.09
58,19,DINO 6/10/24 #4,39,0,8.43,187.6,1.04,0.69
59,20,Case Aoyama SI 6/9/22 #1,280,0,6.42,122.4,5.70,5.96
60,20,Case Aoyama SI 6/9/22 #2,286,0,6.61,112.3,5.26,4.88
61,20,Case Aoyama SI 6/9/22 #3,274,0,6.82,118,6.82,8.90
62,21,Pearl Wise #1,248,0,6.08,95.83,3.60,2.58
63,21,Pearl Wise #2,227,0,6.05,99.09,3.99,3.25
64,21,Pearl Wise #3,249,0,6.15,93.3,3.40,2.59
65,22,"Ensing S3 Kelowna, BC (E) #1",200,0,7.8,230.4,5.49,10.48
66,22,"Ensing S3 Kelowna, BC (S) #2",188,0,7.91,178.7,5.69,12.33
67,22,"Ensing S3 Kelowna, BC (W) #3",271,0,7.78,141.8,4.08,9.47
68,23,South Eden 2024 #1,42,0,6.71,141.7,2.67,4.64
69,23,South Eden 2024 #2,49,0,7.11,161.2,1.93,3.54
70,23,South Eden 2024 #3,50,0,6.42,93.9,1.86,2.83
71,24,"Ensing S4 Merritt, BC (N) #1",198,0,6.15,85.14,7.05,8.66
72,24,"Ensing S4 Merritt, BC (S) #2",183,0,6.54,145.9,7.40,10.08
73,24,"Ensing S4 Merritt, BC (W) #3",134,0,6.59,148.5,8.62,11.64
74,25,Fort Keogh Lone Pine 6/16/22 #1,32,0,5.82,635.9,3.33,6.60
75,25,Fort Keogh Lone Pine 6/16/22 #2,33,0,5.92,131.1,2.90,5.13
76,25,Fort Keogh Lone Pine 6/16/22 #3,34,0,6.22,141.5,2.87,5.69
77,26,Woodruff #1,58,0,6.99,142.4,2.07,3.46
78,26,Woodruff #2,52,0,7.27,152,2.17,3.06
79,26,Woodruff #3,53,0,7.27,192.5,1.97,3.10
80,27,"Ensing S1 Summerland, BC #1",289,0,6.98,380.4,2.00,5.27
81,27,"Ensing S1 Summerland, BC #2",385,0,6.84,325.5,1.99,4.89
82,27,"Ensing S1 Summerland, BC #3",279,0,6.99,357.8,2.05,5.02
83,28,Green Canyon #1,60,19,8.15,208.8,2.92,2.84
84,28,Green Canyon #2,66,19,8.19,239.6,3.33,3.56
85,28,Green Canyon #3,59,22,8.21,216.2,3.39,3.58
86,29,Li-Van Diepen Soil <2mm #1,104.4,0,6.23,262.7,4.65,7.84
87,29,Li-Van Diepen Soil <2mm #2,82.01,0,6.52,178.3,4.27,7.90
88,29,Li-Van Diepen Soil <2mm #3,89,0,6.77,198.4,4.22,7.08
89,30,MPG-IR 7/26/21 #1,31,0,6.16,250,9.84,13.16
90,30,MPG-IR 7/26/21 #2,34,0,6.25,198.2,8.20,12.60
91,30,MPG-IR 7/26/21 #3,28,0,5.95,227.2,11.54,16.92
92,31,KI-Van Diepen Soil <2mm #1,133,0,6.02,266.3,6.17,11.97
93,31,KI-Van Diepen Soil <2mm #2,61,0,5.89,1267,12.00,23.24
94,31,KI-Van Diepen Soil <2mm #3,155,0,6.18,300.6,3.61,7.50
95,32,Cast Valley 5/11/21 #1,108,13,8.39,333.2,0.41,0.29
96,32,Cast Valley 5/11/21 #2,83,11,8.31,396.4,0.41,0.07
97,32,Cast Valley 5/11/21 #3,107,10,8.54,300.9,0.41,0.14
98,33,Satellite SS High #1,40,0,6.52,626.9,5.56,6.04
99,33,Satellite SS High #2,39,0,6.48,82.16,5.97,8.09
100,33,Satellite SS High #3,43,0,6.71,69.41,4.90,5.06
101,34,Satellite Hardware Ranch #1,24,0,6.96,219.2,7.75,8.23
102,34,Satellite Hardware Ranch #2,23,0,7.7,212.8,6.28,4.53
103,34,Satellite Hardware Ranch #3,18,0,7.85,247.1,8.28,7.91
104,35,SSHQ 2024 #1,45,6,8,224.5,4.03,3.80
105,35,SSHQ 2024 #2,46,7,8.06,225.6,3.90,3.10
106,35,SSHQ 2024 #3,41,6,8.16,202.8,3.96,3.40
107,36,Satellite SSHQ #1,50,0,8.14,150.6,4.04,3.55
108,36,Satellite SSHQ #2,61,0,8.19,169.8,3.73,3.42
109,36,Satellite SSHQ #3,62,0,8.17,173.3,4.24,4.26
110,37,Ensing S2 Summerland 1 Princeton BC (E) #1,420,0,8.29,101.5,1.32,2.41
111,37,Ensing S2 Summerland 1 Princeton BC (S) #2,392,0,7.17,67.65,1.95,5.22
112,37,Ensing S2 Summerland 1 Princeton BC (W) #3,372,0,6.86,76.37,4.22,9.68
113,38,EO ARC #1,358,0,7.01,52.34,3.53,3.57
114,38,EO ARC #2,441,0,7.12,59.35,3.45,3.25
115,38,EO ARC #3,13,85,6.93,74.82,4.32,4.25
116,38,EO ARC #4,10,45,6.99,70.27,3.65,2.23
117,38,EO ARC #5,352,0,7.02,46.29,3.36,2.38
118,38,EO ARC #6,7,28,7.14,41.19,4.35,2.39
119,39,AG 01 W #1,28,0,7.3,405.1,4.05,4.14
120,39,AG 01 S #2,23,0,6.62,266.2,3.48,3.82
121,39,AG 01 N+E #3,26,0,7.48,321.3,3.34,3.07
122,40,Rush Valley Satellite Site #1,402,0,8.31,204.4,2.71,1.72
123,41,REW SOIL RB #1,15,0,7.9,196.1,4.30,6.02
124,41,REW SOIL RB #2,16,0,7.32,153.5,4.58,7.26
125,41,REW SOIL RB #3,22,0,7.75,223.8,3.99,4.33
126,42,MaxWell SI Witson 5/13/21 Boise low #1,37,0,7.66,64.77,1.66,1.29
127,42,MaxWell SI Witson 5/13/21 Boise low #2,37,0,7.19,41.25,1.13,1.18
128,42,MaxWell SI Witson 5/13/21 Boise low #3,38,0,7.2,76.93,1.84,1.35
129,43,Maxwell S2 7/11/21 Boise Hi #1,38,0,6.96,81.91,2.90,2.06
130,43,Maxwell S2 7/11/21 Boise Hi #2,35,0,6.83,102.4,2.68,3.51
131,43,Maxwell S2 7/11/21 Boise Hi #3,32,0,6.91,80.37,2.87,2.59
132,44,Symstads (septic) #1,69,44,8.04,228.9,4.59,3.56
133,44,Symstads (septic) #2,66,38,8.01,203.4,4.83,3.56
134,44,Symstads (septic) #3,73,40,8.04,195.4,4.62,4.06
135,45,MPG-TH 7/26/21 #1,35,0,6.12,108.9,2.60,3.93
136,45,MPG-TH 7/26/21 #2,32,0,5.83,100.4,3.14,4.37
137,45,MPG-TH 7/26/21 #3,44,0,5.86,84.09,3.17,7.53
138,46,MPG-SR 7/26/21 #1,47,0,6.34,163.5,3.08,5.95
139,46,MPG-SR 7/26/21 #2,38,0,6.41,191.3,4.91,6.27
140,46,MPG-SR 7/26/21 #3,36,0,6.33,191.6,5.26,8.17
141,47,OTTSI 6/22/21 #1,174,0,6.51,67.13,3.54,5.80
142,47,OTTSI 6/22/21 #2,147,0,6.35,57.67,3.61,5.33
143,47,OTTSI 6/22/21 #3,127,0,6.25,57.32,3.68,5.35
144,48,Barton Burned site #1,258.6,0,8.16,222.1,2.75,2.56
145,48,Barton Burned site #2,177.1,0,7.88,178.6,3.32,4.73
146,48,Barton Burned site #3,201,0,7.77,282.7,3.71,5.48
147,49,Piedmont site #1,160.2,0,8.19,204.6,3.29,4.09
148,49,Piedmont site #2,184,0,7.05,117.9,3.25,4.09
149,49,Piedmont site #3,154,0,7.03,161.8,3.76,4.71
150,50,Barton Unburned #1,96.7,0,6.65,167.3,3.89,4.44
151,50,Barton Unburned #2,156.6,0,7.81,141,2.35,2.55
152,50,Barton Unburned #3,153.3,0,7.11,122.6,2.64,3.15
153,51,Kat Silo Medes #1,165,0,8.12,206.7,4.03,4.94
154,51,Kat Silo Medes #2,247.3,0,8.27,155.3,2.24,2.20
155,51,Kat Silo Medes #3,220.8,0,8.13,205.2,3.56,4.21
